Combination,SVM Accuracy,SVM AUC,KNN Accuracy,KNN AUC,Random Forest Accuracy,Random Forest AUC,Logistic Regression Accuracy,Logistic Regression AUC,XGB Accuracy,XGB AUC
Addictive_AEI_Delta_PSD,0.5,0.4489795918367347,0.42857142857142855,0.47278911564625853,0.5,0.3979591836734694,0.5357142857142857,0.47619047619047616,0.5357142857142857,0.37755102040816324
Addictive_AEI_Delta_PSDPCA,0.5714285714285714,0.673469387755102,0.4642857142857143,0.8299319727891156,1.0,1.0,0.5357142857142857,0.6666666666666666,1.0,1.0
Addictive_AEI_Theta_PSD,0.4642857142857143,0.28571428571428575,0.32142857142857145,0.28231292517006806,0.5,0.25510204081632654,0.42857142857142855,0.326530612244898,0.5714285714285714,0.3163265306122449
Addictive_AEI_Theta_PSDPCA,0.5,0.673469387755102,0.6071428571428571,0.7925170068027212,1.0,1.0,0.5714285714285714,0.673469387755102,1.0,1.0
Addictive_AEI_Alpha_PSD,0.5357142857142857,0.5102040816326531,0.42857142857142855,0.5306122448979591,0.6071428571428571,0.6122448979591837,0.5,0.4897959183673469,0.5357142857142857,0.554421768707483
Addictive_AEI_Alpha_PSDPCA,0.6071428571428571,0.6666666666666666,0.5357142857142857,0.826530612244898,1.0,1.0,0.6071428571428571,0.6530612244897959,1.0,1.0
Addictive_AEI_Beta_PSD,0.4642857142857143,0.38095238095238093,0.39285714285714285,0.4557823129251701,0.5,0.5170068027210885,0.4642857142857143,0.4217687074829932,0.5714285714285714,0.5170068027210885
Addictive_AEI_Beta_PSDPCA,0.5357142857142857,0.6802721088435374,0.5357142857142857,0.846938775510204,1.0,1.0,0.6071428571428571,0.7278911564625851,1.0,1.0
Addictive_AEI_HighBeta_PSD,0.5357142857142857,0.564625850340136,0.5,0.5170068027210885,0.5714285714285714,0.5476190476190477,0.6071428571428571,0.6802721088435374,0.6428571428571429,0.6190476190476191
Addictive_AEI_HighBeta_PSDPCA,0.6785714285714286,0.7142857142857143,0.6428571428571429,0.7619047619047619,1.0,1.0,0.6785714285714286,0.6938775510204082,1.0,1.0
Addictive_AEI_Gamma_PSD,0.6071428571428571,0.5918367346938775,0.4642857142857143,0.6224489795918368,0.6071428571428571,0.6054421768707483,0.5714285714285714,0.5850340136054422,0.5,0.6054421768707483
Addictive_AEI_Gamma_PSDPCA,0.6428571428571429,0.6938775510204082,0.6785714285714286,0.782312925170068,1.0,1.0,0.6785714285714286,0.7006802721088435,1.0,1.0
Addictive_AEI_All_PSD,0.5714285714285714,0.2108843537414966,0.5357142857142857,0.6054421768707483,0.5714285714285714,0.5034013605442177,0.42857142857142855,0.272108843537415,0.6428571428571429,0.673469387755102
Addictive_AEI_All_PSDPCA,0.5357142857142857,0.5714285714285714,0.6071428571428571,0.9183673469387755,1.0,1.0,0.5714285714285714,0.6054421768707483,1.0,1.0
